,Start,End
0,2018-11-22 16:19:53.808109,2018-11-22 16:19:55.247062
1,2018-11-22 16:19:55.905980,2018-11-22 16:19:57.873355
2,2018-11-22 16:19:58.399968,2018-11-22 16:19:59.982334
3,2018-11-22 16:20:01.297016,2018-11-22 16:20:02.479357
4,2018-11-22 16:20:03.407968,2018-11-22 16:20:04.591942
5,2018-11-22 16:20:05.375359,2018-11-22 16:20:05.631032
6,2018-11-22 16:20:05.904060,2018-11-22 16:20:06.687020
7,2018-11-22 16:20:08.271471,2018-11-22 16:20:13.535737
8,2018-11-22 16:20:13.920038,2018-11-22 16:20:15.902997
9,2018-11-22 16:20:17.871451,2018-11-22 16:20:18.782870
